tweet_id,tweet_url,tweet_date,tweet_conversation_id,reply_count,like_count,tweet
1608972314221350914,https://twitter.com/BungRayHasbi/status/1608972314221350914,2022-12-30 23:44:27+00:00,1608812883831582721,0,19,@CNNIndonesia MEMALUKAN....begini cara @BaznasJateng kelola uang Umat ya @baznasindonesia...begini ni akibat Baznas dipilih krn Politik dan dibawah pejabat akhirnya jadi PENJILAT
1608970057572552704,https://twitter.com/dbowo99/status/1608970057572552704,2022-12-30 23:35:29+00:00,1608812883831582721,0,15,"@CNNIndonesia @BaznasJateng tolong pak narasi anda tentang bantuan tanpa melihat partai apa, apakah sudah benar? Itu terlihat sekali beliau memberikan penjelasan 50 org kader PDIP rumah direnovasi disaat HUT PDIP, dijatemg masih banyak pak yg patut dibantu tanpa lihat partai"
1608967817088626693,https://twitter.com/annisaAM0/status/1608967817088626693,2022-12-30 23:26:35+00:00,1608812883831582721,0,39,@CNNIndonesia Penyelewengan dana umat utk kepentingan politiknya. Caption dia aja (saya berencana memugar). Dan ada atribut politik disana. ACT ditangkap masa @BaznasJateng masa ini ngga. Supaya ngga berulang seenaknya pakai dana umat
1608966956727828483,https://twitter.com/ahayuningtyas/status/1608966956727828483,2022-12-30 23:23:10+00:00,1608812883831582721,0,16,"@CNNIndonesia Itu sebabnya untuk Dana zakat atau sedekah atau donasi bencana, banyak yang lebih suka menyalurkannya lewat lembaga lain yg lebih amanah atau disalurkan sendiri langsung. Serem amat kalau disalahgunakan sprt ini. Dana umat loh itu"
1608962244385308672,https://twitter.com/Dironotonegoro/status/1608962244385308672,2022-12-30 23:04:26+00:00,1608812883831582721,1,30,"@CNNIndonesia Baznas Jateng, 50 mustahik orang pedeipeh. Yg menyerahkan dan menerima pakai baju pedeipeh, gembar gembornya seakan2 uang dari pedeipeh. Ojo lunyu2 lambemu Mas, ndak kepleset uripmu ndonyo akherat"
1608959408310218752,https://twitter.com/kata_rezaa/status/1608959408310218752,2022-12-30 22:53:10+00:00,1608812883831582721,1,64,"@CNNIndonesia Umatnya dibully kadrun, radikal-radikul, duitnya dipakai untuk kesejahteraan kader partainya, untuk kepentingan nyapres. Geloooo 🤣🤣🤣"
1608887523719413760,https://twitter.com/kinoyastilianti/status/1608887523719413760,2022-12-30 18:07:31+00:00,1608812883831582721,0,14,"@CNNIndonesia @BaznasJateng  wajib diaudit. 

Kenapa jug amesti pas ultah PDI-P
Kenapa juga yang miskin itu kader PDI-P. 

Masih banyak rakyat miskin lainnya di luar kader. Ganti lah jangan kader partai. Selesai."
1608876384189059073,https://twitter.com/luqmantaufiq_/status/1608876384189059073,2022-12-30 17:23:16+00:00,1608812883831582721,0,37,"@CNNIndonesia Ingat itu dana masyarakat, jangan dibawa ke politik. Integritasnya sudah hancur lebur. Mau berkelit apapun ini sudah salah kaprah."
1608870141860929541,https://twitter.com/zaidanmuda/status/1608870141860929541,2022-12-30 16:58:27+00:00,1608812883831582721,0,11,"@CNNIndonesia Ya bener itu kata baznas..

Yang salah kata2 kader/PDIP ya dihilangkan.

Ganjar kasih bantuan rumah ke warga wonosobo melalui baznas.. gitu kan cakep"
1608858205345677312,https://twitter.com/LetkolMukidi/status/1608858205345677312,2022-12-30 16:11:01+00:00,1608812883831582721,0,18,@CNNIndonesia Pertmyaaannya knpa orng miskin dri partai elu aja??Coba berikan ke rakyat nasdem atau partai yg lainnya? apalgi sebut2 kader! Itu udh politik bung uban! Uang zakat ko buat kepntingan partai
