tweet_id,tweet_url,tweet_date,tweet_conversation_id,reply_count,like_count,tweet
1608895264189972487,https://twitter.com/kashard90/status/1608895264189972487,2022-12-30 18:38:17+00:00,1608777716324601856,3,14,"@detikcom gunung pancar? 🤣 dari gerbang awal bayar, pas masuk mau parkir bayar, make spot foto bayar, coba jalan ke tempat pemandian bayar, parkir di pemandian bayar, masuk gerbang pemandian bayar, pas sampe tempat pemandian bayar, itu kalo mau make yang versi kamar. pait kalo kesini sh."
1608791500846137345,https://twitter.com/desirahma888/status/1608791500846137345,2022-12-30 11:45:58+00:00,1608772478347640833,0,28,@detikcom Disini kelihatan kualitas penasehat hukumnya.. tidak bermutu..  mengajukan gugatan dengan alasan yang tidak kuat.. seharusnya dia tau apa yang terbaik buat kliennya.
1608789900601757697,https://twitter.com/Bimasukmaraga1/status/1608789900601757697,2022-12-30 11:39:36+00:00,1608772478347640833,0,56,@detikcom Taikkkkkk apaaaaaa!. Mempermainkan lembaga pemerintahan semoga hakim melihat ini semua sehingga putusan akhir pengadilan nanti bisa di putuskan dengn tepat dengn pasal 340 hukuman seberat² nya ( Hukuman mati).
1608788870279368706,https://twitter.com/AlhidayatFajrul/status/1608788870279368706,2022-12-30 11:35:31+00:00,1608772478347640833,1,26,@detikcom Ngk ada jiwa jenderal nya banget padahal udh jelas di kasus ini dia salah dan mencoreng nama institusi dan di pecat pun krna kesalah dia yg jelas2 di depan mata Tpi malah mau menggugat
1608773654338498561,https://twitter.com/Ronggobawono/status/1608773654338498561,2022-12-30 10:35:03+00:00,1608772478347640833,2,11,@detikcom Di eksekusi segera bisa gak sih? Keknya ngadilin pembunuh ga segininlama
1608746485365248005,https://twitter.com/davosic/status/1608746485365248005,2022-12-30 08:47:05+00:00,1608720796037300228,0,29,"@detikcom Kalau pakai logika, jabatannya sebagai Kadiv Propam justru lebih cocok dijadikan sebagai poin pemberat vonis. Kenapa? Karena tak seharusnya aparat penegak hukum, khususnya polisinya polisi, melanggar hukum. Apalagi selama ini dia sering terlibat skandal yang belum terungkap."
1608675157165625351,https://twitter.com/idextratime/status/1608675157165625351,2022-12-30 04:03:39+00:00,1608658427949076481,9,179,@detikcom better call saul
1608663471276847105,https://twitter.com/SBSembiring/status/1608663471276847105,2022-12-30 03:17:13+00:00,1608658427949076481,1,48,"@detikcom Hak Sambo mengugat, tak  masalah. Tapi keputusan Polri memecatnya sejak dini sudah tepat."
1608618650478706688,https://twitter.com/ReinkarnasiRain/status/1608618650478706688,2022-12-30 00:19:07+00:00,1608409260659982339,2,61,"@detikcom Tak akan berani menggugat sekelas kapolri terlebih presiden klo g' punya ""sesuatu"". Sepertinya bakal seru nih, moga banyak kasus lain yg bs terbongkar melalui kasus ini 🤲"
1608504061539782657,https://twitter.com/agrasaputra31/status/1608504061539782657,2022-12-29 16:43:47+00:00,1608409260659982339,1,102,"@detikcom Tidak terima dan minta tidak dipecat lalu dipersidangan mau bertanggung jawab terhadap dirinya dan anak buahnya, terus bentuk pertanggung jawabannya apa? Salut saya sama anda pak FS! Buat malu diri sendiri dengan tidak tanggung-tanggung"
